sample_id	dedup_mapped_bases	avg_fragment_size	overlap_clipped_bases	minmapq20_bases
Cv181_REF_1_4_pe	1426858052	401.989992	1423399996	1423399996
Cv183_REF_1_4_pe	1663406344	400.771495	1659639746	1659639746
Cv188_CHR_1_4_pe	2520686222	399.152197	2511769731	2511769731
Cv193_REF_1_4_pe	657024654	405.417126	655885700	655885700
Cv194_REF_1_4_pe	671366843	404.638590	670132046	670132046
Cv199_CHR_1_4_pe	443781855	404.391137	442917962	442917962
Cv19_CHR_1_4_pe	1804317907	403.691921	1800653357	1800653357
Cv203_REF_1_4_pe	1532134364	403.942743	1529390880	1529390880
Cv209_REF_1_4_pe	638621200	405.289338	637476344	637476344
Cv20_REF_1_4_pe	1466617516	400.954881	1458763861	1458763861
Cv213_REF_1_4_pe	2173580204	400.289230	2168037383	2168037383
Cv214_REF_1_4_pe	227325972	406.924628	226897073	226897073
Cv216_CHR_1_4_pe	2019005291	402.660504	2013390206	2013390206
Cv218_REF_1_4_pe	764419392	396.662598	758737116	758737116
Cv220_CHR_1_4_pe	2668134679	403.421085	2662927625	2662927625
Cv226_REF_1_4_pe	1913644755	401.635131	1909334396	1909334396
Cv230_CHR_1_4_pe	2035545168	400.587646	2031512521	2031512521
Cv240_CHR_1_4_pe	1495465112	403.728528	1492067056	1492067056
Cv241_CHR_1_4_pe	1936576427	398.981286	1931509381	1931509381
Cv242_CHR_1_4_pe	2271994866	400.313211	2266498952	2266498952
Cv243_REF_1_4_pe	1965014061	401.276168	1960941394	1960941394
Cv247_CHR_1_4_pe	1613234584	398.836314	1606490005	1606490005
Cv249_CHR_1_4_pe	2207309368	401.739961	2201940200	2201940200
Cv257_REF_1_4_pe	2126341580	400.706680	2119866898	2119866898
Cv259_CHR_1_4_pe	1645336203	404.327981	1641512091	1641512091
Cv261_REF_1_4_pe	1911468728	399.623651	1906936738	1906936738
Cv263_CHR_1_4_pe	1950572367	398.160053	1942967995	1942967995
Cv268_REF_1_4_pe	1153442293	404.555029	1151981100	1151981100
Cv270_CHR_1_4_pe	1626246141	405.104768	1622621243	1622621243
Cv275_REF_1_4_pe	1990180869	402.368910	1986318983	1986318983
Cv277_CHR_1_4_pe	234958079	397.468508	233082896	233082896
