sample_id	mapped_bases	qual_filtered_mapped_bases
ARN0419_043_ARN_1_5	10044604	5220873
ARN0419_024_ARN_1_5	381066	203686
COH0419_043_COH_1_5	1222571954	673346168
COH0419_047_COH_1_5	827737985	452732122
COH0419_040_COH_1_5	24933511	13709477
COH0419_032_COH_1_5	479551933	262695475
COH0419_033_COH_1_5	361466433	196929949
COH0419_029_COH_1_5	1873091843	1040094329
COH0419_007_COH_1_5	1308695756	718901010
COH0419_027_COH_1_5	506644562	277670031
COH0419_031_COH_1_5	860281550	473747481
COH0419_036_COH_1_5	647027272	349828525
COH0419_020_COH_1_5	115147323	61976090
COH0419_045_COH_1_5	524866858	287913473
COH0419_023_COH_1_5	292250611	162398976
COH0419_024_COH_1_5	1063806720	597501227
COH0419_041_COH_1_5	101775670	54764528
COH0419_035_COH_1_5	63032208	34516432
COH0419_001_COH_1_5	24574025	13143125
HC0419_029_HC_1_5	123175239	65730087
HC0419_020_HC_1_5	1949923756	1069780829
HC0419_003_HC_1_5	163310611	89016933
HC0419_019_HC_1_5	477522725	259067888
HC0419_059_HC_1_5	1064352674	587377544
HC0419_017_HC_1_5	656400653	361187681
HC0419_008_HC_1_5	186717536	100528837
HC0419_043_HC_1_5	867388199	478779981
HC0419_024_HC_1_5	193236059	101838894
HC0419_041_HC_1_5	1209490159	669025423
HC0419_067_HC_1_5	940690987	522787583
HC0419_015_HC_1_5	66786907	35853064
HC0419_009_HC_1_5	110477593	58290749
HC0419_025_HC_1_5	281576870	156456538
HC0419_036_HC_1_5	427321462	235230614
HC0419_006_HC_1_5	300489134	163443727
HC0419_058_HC_1_5	438474757	243420407
HC0419_060_HC_1_5	168011140	91553271
HC0419_004_HC_1_5	231495241	126954426
HC0419_012_HC_1_5	67043142	35914132
HC0419_013_HC_1_5	83158790	44621550
HC0419_016_HC_1_5	40960215	22281053
HC0419_022_HC_1_5	19732098	10656701
HC0419_062_HC_1_5	25728982	14287960
NB0419_037_NB_1_5	1835591753	1005838287
NB0419_015_NB_1_5	52481177	28938793
NB0419_036_NB_1_5	55712804	30405676
NB0419_028_NB_1_5	308227956	169350056
NB0419_023_NB_1_5	507100079	277438475
NB0419_017_NB_1_5	221803684	120344151
NB0419_020_NB_1_5	571153710	313172151
NB0419_022_NB_1_5	360336789	196917122
NB0419_019_NB_1_5	849574170	469228349
NB0419_025_NB_1_5	309910222	168310780
NB0419_027_NB_1_5	563235953	310004708
NB0419_040_NB_1_5	374761506	200920510
NB0419_030_NB_1_5	2003405724	1106458746
NB0419_005_NB_1_5	746436284	410794978
NB0419_012_NB_1_5	306245155	168232980
NB0419_002_NB_1_5	438870471	241962469
NB0419_006_NB_1_5	664526861	367176316
NB0419_044_NB_1_5	830302571	444669478
NB0419_016_NB_1_5	412831380	227531704
NB0419_042_NB_1_5	177749994	96189646
NB0419_013_NB_1_5	238669391	130925167
NB0419_007_NB_1_5	189296136	104494153
NB0419_047_NB_1_5	225561639	122038734
NB0419_003_NB_1_5	142123552	78835310
NB0419_050_NB_1_5	81120459	45228254
SR0419_034_SR_1_5	618534665	338936370
SR0419_047_SR_1_5	1400969282	776383740
SR0419_030_SR_1_5	342015784	187519283
SR0419_033_SR_1_5	732273540	402538072
SR0419_048_SR_1_5	388827928	212166925
SR0419_005_SR_1_5	401500527	218728168
SR0419_014_SR_1_5	210683892	116431371
SR0419_029_SR_1_5	278269012	151490631
SR0419_046_SR_1_5	631844606	350813812
SR0419_021_SR_1_5	368253412	194416556
SR0419_020_SR_1_5	738183110	401144784
SR0419_041_SR_1_5	222944505	122174613
SR0419_013_SR_1_5	79394936	42749353
SR0419_004_SR_1_5	11783318	6369961
SR0719ch_327_CHR_1_5	20954372	10403174
SR0719ch_017_CHR_1_5	731911349	405151952
SR0719ch_183_CHR_1_5	354940374	193815455
SR0719ch_083_CHR_1_5	320564875	175554165
SR0719ch_044_CHR_1_5	928708757	511117911
SR0719ch_123_CHR_1_5	787853637	430557823
SR0719ch_066_CHR_1_5	895259502	486432890
SR0719ch_094_CHR_1_5	235620120	126923435
SR0719ch_218_CHR_1_5	402291874	221507664
SR0719ch_016_CHR_1_5	555645064	308129520
SR0719ch_232_CHR_1_5	410877805	228780677
SR0719ch_197_CHR_1_5	67439041	36847387
SR0719ch_028_CHR_1_5	423702429	234703355
SR0719ch_186_CHR_1_5	569692477	311774302
SR0719ch_324_CHR_1_5	373767912	203971556
SR0719ch_283_CHR_1_5	233889941	129139152
SR0719ch_147_CHR_1_5	533744481	291237021
SR0719ch_237_CHR_1_5	342288795	187946677
SR0719ch_228_CHR_1_5	550978015	301388751
SR0719ch_236_CHR_1_5	240208360	132450136
SR0719ch_029_CHR_1_5	144499791	78343049
SR0719ch_333_CHR_1_5	300166333	165742077
SR0719ch_201_CHR_1_5	125226216	68367431
SR0719ch_089_CHR_1_5	110978767	60642991
SR0719ch_256_CHR_1_5	240255207	131261693
SR0719ch_119_CHR_1_5	306013600	169172540
SR0719ch_022_CHR_1_5	761443371	400692934
SR0719ch_129_CHR_1_5	129962587	72179778
SR0719ch_258_CHR_1_5	48933253	26721318
SR0719ch_155_CHR_1_5	83673691	45283371
SR0719ch_131_CHR_1_5	146398591	80515529
SR0719ch_008_CHR_1_5	98551367	54471485
SR0719ch_099_CHR_1_5	69806545	38398559
SR0719ch_216_CHR_1_5	39067833	21396321
SR0719ch_317_CHR_1_5	49672515	27200209
SR0719r_277_REF_1_5	259639084	139247021
SR0719r_412_REF_1_5	33553871	18645544
SR0719r_423_REF_1_5	143130048	79663806
SR0719r_415_REF_1_5	142163140	77901352
SR0719r_411_REF_1_5	55120870	30814463
SR0719r_416_REF_1_5	94877367	52688258
SR0719r_421_REF_1_5	94434527	52534416
SR0719r_414_REF_1_5	68032947	37596378
SR0719r_413_REF_1_5	208895233	116030047
SR0719r_409_REF_1_5	269689918	149138415
SR0719r_193_REF_1_5	394732782	219286058
SR0719r_426_REF_1_5	1370479443	759577664
SR0719r_292_REF_1_5	137674144	75220145
SR0719r_404_REF_1_5	1399411153	777059661
SR0719r_260_REF_1_5	972807360	537705006
SR0719r_422_REF_1_5	1044932943	585536269
SR0719r_408_REF_1_5	715161794	397650167
SR0719r_286_REF_1_5	419660626	230863269
SR0719r_406_REF_1_5	795036557	437531188
SR0719r_401_REF_1_5	596357651	330041515
SR0719r_287_REF_1_5	304071059	168173006
SR0719r_295_REF_1_5	122715279	67099113
SR0719r_420_REF_1_5	1755600265	984011659
SR0719r_056_REF_1_5	1164060907	653591663
SR0719r_403_REF_1_5	1023577651	569510892
SR0719r_053_REF_1_5	709529498	392244213
SR0719r_296_REF_1_5	687203436	379599000
SR0719r_405_REF_1_5	589401582	323954221
SR0719r_427_REF_1_5	254087200	140776194
SR0719r_095_REF_1_5	1011069016	562497196
SR0719r_328_REF_1_5	1003422809	552476609
SR0719r_306_REF_1_5	378983613	207672781
SR0719r_410_REF_1_5	318509817	172860344
SR0719r_407_REF_1_5	359965911	200564978
SR0719r_265_REF_1_5	562909192	308334394
SR0719r_332_REF_1_5	472012470	258131023
SR0719r_051_REF_1_5	168259237	92501321
SR0719r_257_REF_1_5	125379252	69213350
Runtime: 1:25:26 (hh:mm:ss)
