prefix	lane_number	seq_id	sample_id	population	data_type
NB0419_040_NB_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	NB0419_040	NB	pe
NB0419_041_NB_1_3_pe_bt2_CV30_masked_minq20_sorted.bam	3	1	NB0419_041	NB	pe
NB0419_042_NB_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	NB0419_042	NB	pe
NB0419_043_NB_1_3_pe_bt2_CV30_masked_minq20_sorted.bam	3	1	NB0419_043	NB	pe
NB0419_044_NB_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	NB0419_044	NB	pe
NB0419_045_NB_1_2_pe_bt2_CV30_masked_minq20_sorted.bam	2	1	NB0419_045	NB	pe
NB0419_046_NB_1_1_pe_bt2_CV30_masked_minq20_sorted.bam	1	1	NB0419_046	NB	pe
NB0419_047_NB_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	NB0419_047	NB	pe
NB0419_048_NB_1_3_pe_bt2_CV30_masked_minq20_sorted.bam	3	1	NB0419_048	NB	pe
NB0419_049_NB_1_1_pe_bt2_CV30_masked_minq20_sorted.bam	1	1	NB0419_049	NB	pe
NB0419_050_NB_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	NB0419_050	NB	pe
SR0419_001_SR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	SR0419_001	SR	pe
SR0419_002_SR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	SR0419_002	SR	pe
SR0419_003_SR_1_3_pe_bt2_CV30_masked_minq20_sorted.bam	3	1	SR0419_003	SR	pe
SR0419_004_SR_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	SR0419_004	SR	pe
SR0419_005_SR_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	SR0419_005	SR	pe
SR0419_006_SR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	SR0419_006	SR	pe
SR0419_007_SR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	SR0419_007	SR	pe
SR0419_008_SR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	SR0419_008	SR	pe
SR0419_009_SR_1_2_pe_bt2_CV30_masked_minq20_sorted.bam	2	1	SR0419_009	SR	pe
SR0419_010_SR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	SR0419_010	SR	pe
SR0419_011_SR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	SR0419_011	SR	pe
SR0419_012_SR_1_3_pe_bt2_CV30_masked_minq20_sorted.bam	3	1	SR0419_012	SR	pe
SR0419_013_SR_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	SR0419_013	SR	pe
SR0419_014_SR_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	SR0419_014	SR	pe
